loadgenerator-ffc66dbb4-f5hhl                                     16m          2Mi             
loadgenerator-worker-6dc4f49f49-2499z                             396m         3Mi             
loadgenerator-worker-6dc4f49f49-4bjl4                             396m         3Mi             
loadgenerator-worker-6dc4f49f49-4d4dm                             395m         3Mi             
loadgenerator-worker-6dc4f49f49-5996k                             395m         3Mi             
loadgenerator-worker-6dc4f49f49-5gdjm                             395m         3Mi             
loadgenerator-worker-6dc4f49f49-5krxf                             398m         3Mi             
loadgenerator-worker-6dc4f49f49-5sw56                             396m         3Mi             
loadgenerator-worker-6dc4f49f49-77kld                             396m         3Mi             
loadgenerator-worker-6dc4f49f49-7gg8g                             394m         3Mi             
loadgenerator-worker-6dc4f49f49-7x46s                             394m         3Mi             
loadgenerator-worker-6dc4f49f49-88hbs                             398m         3Mi             
loadgenerator-worker-6dc4f49f49-9mmkz                             397m         3Mi             
loadgenerator-worker-6dc4f49f49-cm64h                             394m         3Mi             
loadgenerator-worker-6dc4f49f49-drphd                             400m         3Mi             
loadgenerator-worker-6dc4f49f49-fctbq                             396m         3Mi             
loadgenerator-worker-6dc4f49f49-fk7cb                             395m         3Mi             
loadgenerator-worker-6dc4f49f49-gmggv                             395m         3Mi             
loadgenerator-worker-6dc4f49f49-jvs6l                             398m         3Mi             
loadgenerator-worker-6dc4f49f49-ksvzl                             394m         3Mi             
loadgenerator-worker-6dc4f49f49-l7srq                             399m         3Mi             
loadgenerator-worker-6dc4f49f49-l8tct                             396m         3Mi             
loadgenerator-worker-6dc4f49f49-l9thz                             398m         3Mi             
loadgenerator-worker-6dc4f49f49-qvt25                             396m         3Mi             
loadgenerator-worker-6dc4f49f49-s5vmf                             394m         3Mi             
loadgenerator-worker-6dc4f49f49-tmr86                             395m         3Mi             
loadgenerator-worker-6dc4f49f49-vmrq5                             393m         3Mi             
loadgenerator-worker-6dc4f49f49-xp95k                             394m         3Mi             
loadgenerator-worker-6dc4f49f49-xqkvf                             396m         3Mi             
loadgenerator-worker-6dc4f49f49-xvmp2                             399m         3Mi             
loadgenerator-worker-6dc4f49f49-zpkfg                             393m         3Mi             
ob-adservice-7ce5edba-6f7e3700-7995467c98-7ppvt                   570m         19Mi            
ob-adservice-7ce5edba-6f7e3700-7995467c98-8pxf8                   550m         19Mi            
ob-cartcache-7ce5edba-06cf96e5-795b858b5d-kjnn4                   666m         44Mi            
ob-cartservice-7ce5edba-ff486997-687db47cd-2ch4m                  692m         21Mi            
ob-cartservice-7ce5edba-ff486997-687db47cd-7c7b9                  692m         22Mi            
ob-cartservice-7ce5edba-ff486997-687db47cd-bc26b                  689m         21Mi            
ob-cartservice-7ce5edba-ff486997-687db47cd-rgld8                  691m         20Mi            
ob-checkoutservice-7ce5edba-87ef5dd1-5bbc878848-twf62             382m         22Mi            
ob-checkoutservice-7ce5edba-87ef5dd1-5bbc878848-w656t             433m         22Mi            
ob-currencyservice-7ce5edba-3bef40ff-7f95fc76f4-2pt2s             655m         19Mi            
ob-currencyservice-7ce5edba-3bef40ff-7f95fc76f4-4t2wv             664m         19Mi            
ob-currencyservice-7ce5edba-3bef40ff-7f95fc76f4-6vdz2             661m         20Mi            
ob-currencyservice-7ce5edba-3bef40ff-7f95fc76f4-nk9fj             658m         19Mi            
ob-emailservice-7ce5edba-142c2d7e-58f74d9dc8-ksrp8                291m         19Mi            
ob-main-7ce5edba-a6fc49d5-756cf5d95f-2w8gq                        796m         198Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-4f4k2                        794m         210Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-6d5hr                        801m         199Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-6gmxs                        776m         214Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-7vpnz                        782m         186Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-9t7j6                        818m         205Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-hs7hz                        789m         216Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-j65rm                        777m         185Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-k88ls                        793m         216Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-mhhd2                        819m         210Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-mp7gj                        797m         206Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-q49v8                        829m         220Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-qj2wq                        796m         198Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-skjlp                        805m         206Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-v7v75                        793m         214Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-vmzl7                        800m         209Mi           
ob-main-7ce5edba-a6fc49d5-756cf5d95f-xkh7b                        796m         199Mi           
ob-paymentservice-7ce5edba-4a4ae75e-5b88c585cd-zdr9h              158m         18Mi            
ob-productcatalogservice-catalogservice-7ce5edba-25b3cf0c-5hsxm   740m         20Mi            
ob-productcatalogservice-catalogservice-7ce5edba-25b3cf0c-chw2f   737m         19Mi            
ob-productcatalogservice-catalogservice-7ce5edba-25b3cf0c-tg67d   708m         19Mi            
ob-recservice-7ce5edba-0ef2e658-5c869cb55d-2sckg                  475m         20Mi            
ob-recservice-7ce5edba-0ef2e658-5c869cb55d-qsx82                  472m         19Mi            
ob-shippingservice-7ce5edba-ef67c924-99cc459b-p57jv               434m         19Mi            
ob-shippingservice-7ce5edba-ef67c924-99cc459b-z9bwb               441m         19Mi            
