Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6509,0,3,17.20141342756184,0,109,9945.378552773083,54.55923175670359,0.0,3,10,29,39,57,68,79,84,96,110,110
GET,/cart,9743,0,2,4.213486605768244,0,109,11095.471825926306,81.66701413513029,0.0,2,3,3,3,5,13,37,51,82,110,110
POST,/cart,16675,0,4,5.793763118440779,1,175,17008.443058470766,139.77188347565408,0.0,4,5,5,5,8,14,30,43,88,150,180
POST,/cart/checkout,6786,0,3,4.37842617152962,1,108,6406.3292071912765,56.88107953617922,0.0,3,4,4,5,7,10,17,23,95,110,110
POST,/cart/empty,3392,0,4,6.809257075471698,2,137,9922.89858490566,28.432157646142045,0.0,4,5,5,6,8,16,51,70,110,140,140
GET,/product/0PUK6V6EV0,5510,0,2,3.935753176043557,0,110,7538.562068965517,46.18549193108569,0.0,2,2,3,3,5,11,32,50,78,110,110
GET,/product/1YMWWN1N4O,5651,0,2,4.0203503804636345,0,107,7585.822509290391,47.36737112569242,0.0,2,2,3,3,5,11,34,51,80,110,110
GET,/product/2ZYFJ3GM2N,5656,0,2,4.1115629420084865,0,112,7559.419024045262,47.40928173543025,0.0,2,2,3,3,5,12,37,51,89,110,110
GET,/product/66VCHSJNUP,5574,0,2,3.773412271259419,0,109,7525.488159311087,46.721947735729884,0.0,2,2,3,3,5,10,31,43,72,110,110
GET,/product/6E92ZMYYFZ,5563,0,2,4.13086464138055,0,111,7533.090598597879,46.62974439430666,0.0,2,2,3,3,5,11,36,52,84,110,110
GET,/product/9SIQT8TOJO,5649,0,2,3.9704372455301824,1,94,7585.270313329793,47.35060688179729,0.0,2,2,3,3,5,11,34,47,78,94,94
GET,/product/L9ECAV7KIM,5520,0,2,4.08822463768116,1,110,7556.305253623188,46.269313150561345,0.0,2,2,3,3,5,13,34,48,93,110,110
GET,/product/LS4PSXUNUM,5432,0,2,4.141568483063328,0,108,7549.8617452135495,45.531686419175585,0.0,2,2,3,3,5,12,37,52,85,110,110
GET,/product/OLJCESPC7Z,5492,0,2,4.296067006554989,1,107,7588.36817188638,46.03461373602951,0.0,2,2,3,3,5,16,39,51,85,110,110
POST,/setCurrency,6570,0,4,6.888584474885845,1,145,9964.951293759514,55.070541195505086,0.0,4,5,5,6,8,16,48,68,100,140,140
,Aggregated,99722,0,3,5.5198852810814065,0,175,9800.403551874211,835.881964855123,0.0,3,4,4,5,7,22,48,62,92,110,180
