Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1728415240,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728415241,12,,Aggregated,0.000000,0.000000,43,55,57,63,67,67,67,67,67,67,67,9,0,43,45.111111111111114,23,67,9913.0
1728415242,24,,Aggregated,0.000000,0.000000,44,57,62,64,72,75,94,94,94,94,94,40,0,43,45.4,6,94,9210.475
1728415243,37,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728415244,49,,Aggregated,0.000000,0.000000,47,57,65,69,82,100,110,110,110,110,110,35,0,47,49.0,2,114,8844.742857142857
1728415245,61,,Aggregated,0.000000,0.000000,45,54,65,70,89,110,120,130,130,130,130,68,0,45,44.60294117647059,2,133,9156.2791728415246,1728415246,74,,Agg1728415246,74,,11728415246,73,,Aggregated,0.000000,0.000000,83,83,96,96,96,96,96,96,96,96,96,3,0,83,69.33333333333333,29,96,9117.666666666666
1728415247,86,,Aggregated,0.000000,0.000000,12,49,80,100,140,160,170,230,230,230,230,57,0,12,45.0,1,226,9501.228070175439
1728415248,98,,Aggregated,0.000000,0.000000,35,75,94,110,140,150,170,230,240,240,240,110,0,34,53.17272727272727,1,236,9289.581818181818
1728415249,110,,Aggregated,0.000000,0.000000,100,100,100,100,100,100,100,100,100,100,100,1,0,103,103.0,103,103,9913.0
1728415250,123,,Aggregated,0.000000,0.000000,48,76,95,100,130,160,1817284152511728411728415251,135,,Aggregated,0.000000,0.000000,34,65,81728415251,135,,Aggregated,0.000000,0.000000,33,59,76,87,120,130,160,180,220,220,220,161,0,33,45.88198757763975,1,223,9424.47204968944
1728415252,147,,Aggregated,0.000000,0.000000,99,100,110,110,110,110,110,110,110,110,110,8,0,98,85.375,46,113,9036.125
1728415253,160,,Aggregated,0.000000,0.000000,46,78,99,100,120,160,170,200,220,220,220,111,0,46,55.630630630630634,1,216,9427.225225225226
1728415254,172,,Aggregated,0.000000,0.000000,49,78,99,100,130,150,170,200,220,220,220,196,0,48,56.433673469387756,0,216,9605.637755102041
1728415255,184,,Aggregated,01728415256,197,,Ag1728415256,196,,Aggregated,0.000000,0.0000001728415256,197,,Aggregated,0.000000,0.000000,31,70,91,94,110,140,180,190,190,190,190,83,0,31,48.493975903614455,1,193,9286.253012048193
1728415257,209,,Aggregated,0.000000,0.000000,58,82,96,110,130,140,160,190,200,200,200,180,0,56,56.86666666666667,1,195,9611.277777777777
